dz2011,dz2011name,iz2011,iz2011name,hb2019,hb2019name,hb2018,hb2014,hscp2019,hscp2019name,hscp2018,hscp2016,ca2019,ca2019name,ca2018,ca2011,simd2020_rank,simd2020_sc_decile,simd2020_sc_quintile,simd2020_hb2019_decile,simd2020_hb2019_quintile,simd2020_hscp2019_decile,simd2020_hscp2019_quintile,simd2020_ca2019_decile,simd2020_ca2019_quintile,simd2020tp15,simd2020bt15,simd2020_educ_rank,simd2020_emp_rate,simd2020_emp_dep_n,simd2020_emp_rank,simd2020_hlth_rank,simd2020_house_rank,simd2020_inc_rate,simd2020_inc_dep_n,simd2020_inc_rank,simd2020_access_rank,simd2020_crime_rate,simd2020_crime_count,simd2020_crime_rank,pop_2017
S01006506,Culter - 01,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4732,7,4,6,3,6,3,6,3,0,0,5887,0.08,49,3220,5174,3248,0.08,71,4044.5,4724,124.59942,11.139188,4664,894
S01006507,Culter - 02,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4820,7,4,6,3,6,3,6,3,0,0,4384,0.05,25,4481,5051,3486,0.05,43,4675,2148,127.69905,10.126535,4602,793
S01006508,Culter - 03,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5821,9,5,8,4,7,4,7,4,0,0,5915,0.04,19,5110,5942,5342,0.06,40,4785.5,4200,129.827368,8.101228,4563.5,624
S01006509,Culter - 04,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4205,6,3,5,3,5,3,5,3,0,0,6401,0.08,26,3229,3871,4394.5,0.1,52,3193,3982,75.430426,4.050614,5626,537
S01006510,Culter - 05,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3903,6,3,4,2,5,3,5,3,0,0,4092,0.08,32,3448,3049,3736,0.1,68,3305,5588,168.011888,11.139188,3885,663
S01006511,Culter - 06,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6231,9,5,9,5,8,4,8,4,0,1,5410,0.04,17,5346,5783,5924,0.04,30,5356,4974,NA,NA,6928,759
S01006512,Culter - 07,S02001236,Culter,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5690,9,5,8,4,7,4,7,4,0,0,6506,0.02,8,6206,6586,4815,0.02,13,6269,547,131.513438,7.088574,4528,539
S01006513,"Cults, Bieldside and Milltimber West - 01",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6120,9,5,9,5,8,4,8,4,0,1,6531,0.03,13,5695,5516,6394,0.02,14,6387,1490,NA,NA,6928,788
S01006514,"Cults, Bieldside and Milltimber West - 02",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6711,10,5,10,5,9,5,9,5,0,1,6847,0.02,12,6658,6733,6868,0.02,17,6690,1858,81.156556,9.113881,5507,1123
S01006515,"Cults, Bieldside and Milltimber West - 03",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6363,10,5,9,5,8,4,8,4,0,1,6838,0.01,7,6803,6846,6174.5,0.01,5,6952.5,659,NA,NA,6844,816
S01006516,"Cults, Bieldside and Milltimber West - 04",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5962,9,5,8,4,7,4,7,4,0,0,6631,0.03,14,5542,6852,6570,0.02,14,6399,1037,128.795354,8.101228,4580,629
S01006517,"Cults, Bieldside and Milltimber West - 05",S02001237,"Cults, Bieldside and Milltimber West",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5772,9,5,8,4,7,4,7,4,0,0,6704,0.04,24,5324,6159,5892,0.02,24,6284.5,931,77.007868,8.101228,5594,1052
S01006518,"Cults, Bieldside and Milltimber East - 01",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6669,10,5,10,5,9,5,9,5,0,1,6960,0.01,4,6851,6919,6960,0.01,7,6808,1161,NA,NA,6792,664
S01006519,"Cults, Bieldside and Milltimber East - 02",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6223,9,5,9,5,8,4,8,4,0,1,6904,0.02,13,6284,6776,6856,0.02,19,6400,938,75.330226,7.088574,5628,941
S01006520,"Cults, Bieldside and Milltimber East - 03",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6498,10,5,9,5,9,5,9,5,0,1,6965,0.01,5,6920,6940,6825,0.01,10,6836.5,785,NA,NA,6928,875
S01006521,"Cults, Bieldside and Milltimber East - 04",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6526,10,5,9,5,9,5,9,5,0,1,6808,0.01,5,6896.5,6952,6869,0.01,5,6947,904,63.849525,5.063267,5889,793
S01006522,"Cults, Bieldside and Milltimber East - 05",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6764,10,5,10,5,9,5,9,5,0,1,6931,0.01,2,6955,6930,6841,0,0,6970.5,1385,45.006821,3.03796,6273,675
S01006523,"Cults, Bieldside and Milltimber East - 06",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6489,10,5,9,5,9,5,9,5,0,1,6906,0.02,12,6373,6423,6581,0.03,29,5851,2357,105.81541,10.126535,5000,957
S01006524,"Cults, Bieldside and Milltimber East - 07",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4098,6,3,5,3,5,3,5,3,0,0,6256,0.09,58,2956,4161,6240,0.1,107,3199,3281,28.768564,3.03796,6586,1056
S01006525,"Cults, Bieldside and Milltimber East - 08",S02001238,"Cults, Bieldside and Milltimber East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6067,9,5,9,5,7,4,7,4,0,1,6810,0.04,18,5409.5,5894,6259.5,0.03,31,5496,2432,67.211514,6.075921,5803,904
S01006526,Garthdee - 01,S02001239,Garthdee,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,2677,4,2,2,1,3,2,3,2,0,0,1073,0.08,52,3450,2897,1454,0.12,115,3202.5,1906,65.756719,6.075921,5840,924
S01006527,Garthdee - 02,S02001239,Garthdee,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,2074,3,2,2,1,2,1,2,1,0,0,1360,0.12,59,2228,2072,3235,0.16,122,2220,2976,254.502856,19.240416,2692,756
S01006528,Garthdee - 03,S02001239,Garthdee,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3966,6,3,4,2,5,3,5,3,0,0,3178,0.06,51,4079,3285,1723,0.09,109,3854,3717,175.503201,20.253069,3786,1154
S01006529,Garthdee - 04,S02001239,Garthdee,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3901,6,3,4,2,5,3,5,3,0,0,2612,0.05,35,4557,4117,945,0.09,85,3980,3842,412.884462,38.480832,1432,932
S01006530,Garthdee - 05,S02001239,Garthdee,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,2297,4,2,2,1,3,2,3,2,0,0,1021,0.11,61,2360,2679,1626.5,0.15,116,2588,5745,270.900928,21.265723,2494,785
S01006531,Garthdee - 06,S02001239,Garthdee,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,1700,3,2,1,1,2,1,2,1,0,0,320,0.11,72,2419,1933,1122,0.18,166,2085,5143,299.7283,28.354297,2237,946
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5888,9,5,8,4,7,4,7,4,0,0,6177,0.04,17,5265,5684,6110,0.04,32,5177,3920,204.318481,16.202456,3342,793
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6791,10,5,10,5,10,5,10,5,0,1,6781,0.02,10,6361,6790,6946,0.02,11,6719,3089,155.358273,11.139188,4095,717
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6832,10,5,10,5,10,5,10,5,0,1,6588,0.02,11,6616,6760,6168,0.02,19,6498,4158,201.259581,19.240416,3383,956
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6775,10,5,10,5,10,5,10,5,0,1,6174,0.03,21,6081,6633,2839,0.03,27,6413,5586,145.217993,15.189802,4257,1046
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5811,9,5,8,4,7,4,7,4,0,0,4874,0.04,30,5383,5967,1197,0.04,43,5827,5925,363.464855,36.455525,1729,1003
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6631,10,5,10,5,9,5,9,5,0,1,6845,0.01,7,6758,5227,6398,0.02,14,6550,2127,NA,NA,6866,920
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6453,10,5,9,5,9,5,9,5,0,1,6537,0.02,7,6391,6474,6461.5,0.01,8,6684,1286,NA,NA,6731,548
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6700,10,5,10,5,9,5,9,5,0,1,6757,0.03,12,6109,6374,6328,0.02,19,6155,3394,64.830568,5.063267,5867,781
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6492,10,5,9,5,9,5,9,5,0,1,6561,0.03,19,5795,6597,4761,0.02,18,6537,2417,86.82988,8.101228,5378,933
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6472,10,5,9,5,9,5,9,5,0,1,6878,0.03,14,5861,5596,6619,0.03,29,5499,3887,35.161579,3.03796,6463,864
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6742,10,5,10,5,9,5,9,5,0,1,6535,0.02,12,6611,6667,6239,0.01,12,6829,2069,71.628893,8.101228,5703,1131
S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6737,10,5,10,5,9,5,9,5,0,1,6676,0.02,9,6493,5682,6900,0.02,13,6538.5,2700,NA,NA,6928,792
S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6936,10,5,10,5,10,5,10,5,0,1,6534,0.01,7,6927,6511,3379.5,0.02,21,6677,4316,23.678569,3.03796,6663,1283
S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6609,10,5,10,5,9,5,9,5,0,1,6408,0.03,20,5967,6012,4757,0.03,28,6250,4572,171.789428,19.240416,3834,1120
S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6948,10,5,10,5,10,5,10,5,0,1,6966,0.03,11,5953,6305,6799,0.02,10,6635,6399,NA,NA,6928,624
S01006547,Hazlehead - 01,S02001243,Hazlehead,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3774,6,3,4,2,5,3,5,3,0,0,6395,0.07,52,3752,4381,4090,0.08,95,3953,661,317.982974,39.493485,2085,1242
S01006548,Hazlehead - 02,S02001243,Hazlehead,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6417,10,5,9,5,8,4,8,4,0,1,6765,0.02,8,6264,6698,6499,0.02,11,6493,1259,NA,NA,6928,658
S01006549,Hazlehead - 03,S02001243,Hazlehead,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6821,10,5,10,5,10,5,10,5,0,1,6819,0.01,6,6827,6466,6004,0.01,7,6901,2363,101.774218,8.101228,5084,796
S01006550,Hazlehead - 04,S02001243,Hazlehead,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6749,10,5,10,5,9,5,9,5,0,1,6963,0.02,8,6706,6378,6585,0.01,9,6839,2008,90.013642,8.101228,5324,900
S01006551,Hazlehead - 05,S02001243,Hazlehead,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,1475,3,2,1,1,2,1,2,1,0,0,3550,0.18,76,999,2047,1502,0.17,120,1815,1754,690.445548,48.607367000000004,523,704
S01006552,Hazlehead - 06,S02001243,Hazlehead,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6121,9,5,9,5,8,4,8,4,0,1,5534,0.03,15,6124,6688,6637,0.03,28,5949,1694,103.098204,9.113881,5052,884
S01006553,Summerhill - 01,S02001244,Summerhill,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5199,8,4,7,4,6,3,6,3,0,0,5829,0.05,24,4719,4149,4628,0.05,41,4918,2781,123.357566,11.139188,4687,903
S01006554,Summerhill - 02,S02001244,Summerhill,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3929,6,3,4,2,5,3,5,3,0,0,4216,0.07,33,3857,4396,2235,0.09,73,3536,4460,521.314528,40.506139,923,777
S01006555,Summerhill - 03,S02001244,Summerhill,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,1715,3,2,1,1,2,1,2,1,0,0,2039,0.15,81,1432,1362,1067,0.14,101,2942,2597,733.205382,53.670634,463,732
S01006556,Summerhill - 04,S02001244,Summerhill,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,2264,4,2,2,1,3,2,3,2,0,0,3187,0.13,63,1937,2261,1660,0.16,130,1971,4613,239.308656,19.240416,2882,804
S01006557,Summerhill - 05,S02001244,Summerhill,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,1445,3,2,1,1,2,1,2,1,0,0,1680,0.16,65,1328,1076,2323,0.17,116,1833,1835,223.708425,15.189802,3052,679
S01006558,Midstocket - 01,S02001245,Midstocket,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6826,10,5,10,5,10,5,10,5,0,1,6707,0.03,12,6023.5,6490,2751,0.03,15,6364,6316,152.91747,9.113881,4134,596
S01006559,Midstocket - 02,S02001245,Midstocket,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6972,10,5,10,5,10,5,10,5,0,1,6918,0.01,6,6749,6845,5199,0.01,9,6745,6569,134.795803,8.101228,4464,601
S01006560,Midstocket - 03,S02001245,Midstocket,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6952,10,5,10,5,10,5,10,5,0,1,6720,0.01,8,6817,6048,5876,0.02,20,6483,6116,79.57984,8.101228,5547,1018
S01006561,Midstocket - 04,S02001245,Midstocket,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6974,10,5,10,5,10,5,10,5,0,1,6629,0.01,5,6873,6714,6509,0.01,7,6874,6844,166.920902,12.151842,3906,728
S01006562,Midstocket - 05,S02001245,Midstocket,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4716,7,4,6,3,6,3,6,3,0,0,5671,0.08,46,3514,4127,4177.5,0.06,60,4520,3680,145.855438,14.177149,4252,972
S01006563,Midstocket - 06,S02001245,Midstocket,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4994,8,4,6,3,6,3,6,3,0,0,6349,0.04,17,4939,4954,2829,0.04,25,5459.5,5453,1406.047654,95.189426,90,677
S01006564,Rosemount - 01,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3523,5,3,3,2,4,2,4,2,0,0,2578,0.09,70,3088,3595,608,0.1,105,3828,6560,301.684251,30.379604,2221,1007
S01006565,Rosemount - 02,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,3914,6,3,4,2,5,3,5,3,0,0,2041,0.07,60,3803,4499,140,0.09,89,4498,5613,222.783763,22.278376,3067,1000
S01006566,Rosemount - 03,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6017,9,5,8,4,7,4,7,4,0,1,5650,0.04,24,5202,5938,1947,0.05,39,5471,6722,266.137574,20.253069,2545,761
S01006567,Rosemount - 04,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,2889,5,3,3,2,4,2,4,2,0,0,3539,0.13,76,2013,3028,275,0.13,94,3447,6205,367.495211,27.341644,1695,744
S01006568,Rosemount - 05,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6062,9,5,9,5,7,4,7,4,0,1,4018,0.03,26,5682,6234,649,0.03,28,6398,6846,263.88364,24.303683,2570,921
S01006569,Rosemount - 06,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5474,8,4,7,4,6,3,6,3,0,0,6566,0.06,28,4000,4850,1285,0.06,33,5117.5,6720,162.457776,9.113881,3977,561
S01006570,Rosemount - 07,S02001246,Rosemount,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6966,10,5,10,5,10,5,10,5,0,1,6727,0.02,9,6683,6906,4238,0.01,11,6786,6493,123.327216,9.113881,4688,739
S01006571,West End North - 01,S02001247,West End North,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6455,10,5,9,5,9,5,9,5,0,1,6699,0.02,15,6230,6727,3853,0.03,26,6163,6283,589.13978,53.670634,715,911
S01006572,West End North - 02,S02001247,West End North,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6930,10,5,10,5,10,5,10,5,0,1,6972,0.01,6,6902,6924,6285,0.01,6,6949,3422,158.723114,15.189802,4036,957
S01006573,West End North - 03,S02001247,West End North,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6975,10,5,10,5,10,5,10,5,0,1,6804,0.01,5,6895,6893,6618,0.02,12,6738,5395,64.091992,5.063267,5882,790
S01006574,West End North - 04,S02001247,West End North,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6868,10,5,10,5,10,5,10,5,0,1,6916,0.01,6,6928,6841,6086,0.02,20,6506,4775,308.675099,31.392258000000002,2159,1017
S01006575,West End South - 01,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6962,10,5,10,5,10,5,10,5,0,1,6934,0.01,6,6933,6933,5762,0.01,8,6935,4584,134.194649,13.164495,4482,981
S01006576,West End South - 02,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6559,10,5,10,5,9,5,9,5,0,1,6769,0.03,16,5841,6599,4755,0.02,12,6732,4761,416.15896,30.379604,1411,730
S01006577,West End South - 03,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6760,10,5,10,5,9,5,9,5,0,1,6628,0.03,17,5906,6258,1826,0.02,20,6435,6279,149.285524,12.151842,4208,814
S01006578,West End South - 04,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5649,9,5,8,4,7,4,7,4,0,0,4547,0.04,40,5030,5273,566,0.05,51,5760,6265,192.449981,21.265723,3517,1105
S01006579,West End South - 05,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6545,10,5,9,5,9,5,9,5,0,1,5799,0.03,29,5714,6631,1024,0.03,33,6342.5,6301,183.591755,19.240416,3656,1048
S01006580,West End South - 06,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6438,10,5,9,5,8,4,8,4,0,1,6547,0.03,20,5502.5,6181,1196,0.04,28,5966,6215,167.843117,12.151842,3888,724
S01006581,West End South - 07,S02001248,West End South,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6968,10,5,10,5,10,5,10,5,0,1,6844,0.02,10,6721,6786,6019,0.01,7,6939,4704,42.68297,4.050614,6323,949
S01006582,City Centre West - 01,S02001249,City Centre West,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,4068,6,3,4,2,5,3,5,3,0,0,1721,0.04,25,5465.5,6144,722,0.04,35,5897,4563,3754.2275,307.846655,12,820
S01006583,City Centre West - 02,S02001249,City Centre West,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,5453,8,4,7,4,6,3,6,3,0,0,1880,0.03,16,6067,6666,1568,0.05,33,5764,5730,233.128856,16.202456,2950,695
S01006584,City Centre West - 03,S02001249,City Centre West,S08000020,NHS Grampian,S08000020,S08000020,S37000001,Aberdeen City,S37000001,S37000001,S12000033,Aberdeen City,S12000033,S12000033,6431,10,5,9,5,8,4,8,4,0,1,4634,0.03,15,6009,6670,640,0.02,13,6688,6572,231.652755,14.177149,2961,612
